year,Lamarck
1800,4.1235842296316605e-08
1801,9.436423553665918e-08
1802,1.2632602341966503e-07
1803,1.7956935443359206e-07
1804,2.1895244525386e-07
1805,2.1049842402476315e-07
1806,2.861160141825232e-07
1807,2.79259302666495e-07
1808,5.600977642318738e-07
1809,5.357807520819539e-07
1810,4.81278902445378e-07
1811,4.884240511720301e-07
1812,7.402858146170793e-07
1813,7.009214831400965e-07
1814,7.37727800879741e-07
1815,5.9123077126141e-07
1816,6.501370904489689e-07
1817,7.667693229557975e-07
1818,1.017707859953175e-06
1819,1.330414006897992e-06
1820,1.572205435935408e-06
1821,2.0260061236295916e-06
1822,2.16787391016382e-06
1823,2.1978988112054358e-06
1824,2.114598315561267e-06
1825,1.8606658033374198e-06
1826,1.3809320440800427e-06
1827,1.2772974031476686e-06
1828,8.851534502823149e-07
1829,8.088191791242951e-07
1830,1.1763877903549412e-06
1831,1.316817729777954e-06
1832,1.5875100353010145e-06
1833,1.6035274215754823e-06
1834,1.6877529690008584e-06
1835,1.6896802755691655e-06
1836,1.5322577363109855e-06
1837,1.1761386363876421e-06
1838,1.1305536399433945e-06
1839,1.0480968584771133e-06
1840,1.028824454613846e-06
1841,8.277663103850585e-07
1842,7.786548271874036e-07
1843,8.257240005082878e-07
1844,8.159584699019007e-07
1845,7.776460630358275e-07
1846,5.88820410778774e-07
1847,6.903647405488909e-07
1848,8.097295068739843e-07
1849,1.0703890278256672e-06
1850,1.1068130092439787e-06
1851,1.1931632345632946e-06
1852,1.2489990329132638e-06
1853,1.264817366730675e-06
1854,1.1423190022627087e-06
1855,1.1791949831347585e-06
1856,9.78707546958216e-07
1857,9.02914643576201e-07
1858,7.676811426707682e-07
1859,7.484679415930324e-07
1860,9.20324630219024e-07
1861,1.015954944299275e-06
1862,9.449875141446081e-07
1863,9.979534511777338e-07
1864,9.95136615016585e-07
1865,1.1160721163757816e-06
1866,1.0339531728575935e-06
1867,8.618275133542852e-07
1868,7.533437966143554e-07
1869,7.718508224944085e-07
1870,7.094430271184901e-07
1871,7.650137725840571e-07
1872,7.297814414997106e-07
1873,8.332609095416744e-07
1874,8.637052126201995e-07
1875,9.204127510946998e-07
1876,1.137345068537497e-06
1877,1.1275109061007323e-06
1878,1.0957012749811057e-06
1879,1.1427571605184182e-06
1880,1.1252487713672314e-06
1881,1.1132187425845684e-06
1882,1.1337046744243549e-06
1883,9.032337332990994e-07
1884,9.751403772398755e-07
1885,1.0070302241934774e-06
1886,9.103231325889383e-07
1887,9.428671924168899e-07
1888,9.624559151242908e-07
1889,1.0243839680005147e-06
1890,1.0155791639400647e-06
1891,1.2240377096033633e-06
1892,1.2182035500986541e-06
1893,1.346793917912846e-06
1894,1.3293739835289794e-06
1895,1.30718550587058e-06
1896,1.2633018822784592e-06
1897,1.2635166070878206e-06
1898,1.4679772038585424e-06
1899,1.4470388614335709e-06
1900,1.3882586355405481e-06
1901,1.370642767665028e-06
1902,1.4439943412420623e-06
1903,1.4091180824087651e-06
1904,1.444667818008481e-06
1905,1.043374215470294e-06
1906,1.0736065266010136e-06
1907,1.068145261890712e-06
1908,1.0722924850270488e-06
1909,1.1388443803233324e-06
1910,1.1745614197446384e-06
1911,1.235812121525015e-06
1912,1.2912498465387858e-06
1913,1.3614331157667842e-06
1914,1.387963595167463e-06
1915,1.4563511849807753e-06
1916,1.3975922942753373e-06
1917,1.3598674932779886e-06
1918,1.2562831209602824e-06
1919,1.2238713911522886e-06
1920,1.1545240414483665e-06
1921,1.2003568811940518e-06
1922,1.210478417311224e-06
1923,1.2874810567505994e-06
1924,1.3647741353547564e-06
1925,1.5184634554188392e-06
1926,1.700609230072457e-06
1927,1.7313735387602947e-06
1928,1.7379293295911272e-06
1929,1.7143328240162451e-06
1930,1.64816426005489e-06
1931,1.5961032822404368e-06
1932,1.4499728639982834e-06
1933,1.2224473125829353e-06
1934,1.2186279058238166e-06
1935,1.1565011317493656e-06
1936,1.09781194211424e-06
1937,1.0739717993019885e-06
1938,1.0982745301138917e-06
1939,1.0431337414169256e-06
1940,9.908796404342217e-07
1941,8.708564879381495e-07
1942,7.849681677361633e-07
1943,7.789937135349589e-07
1944,7.32648645307421e-07
1945,6.656378086817532e-07
1946,7.091786743248665e-07
1947,7.229279642853977e-07
1948,7.671670056045141e-07
1949,8.082913181947252e-07
1950,8.331831279509823e-07
1951,8.21700812154396e-07
1952,8.271667569305561e-07
1953,8.614672251740428e-07
1954,8.388094089793543e-07
1955,9.107514069890093e-07
1956,9.977523467747623e-07
1957,9.416742040104152e-07
1958,1.0187255482360262e-06
1959,1.0757251357621354e-06
1960,1.0497839165576498e-06
1961,1.1090265857406832e-06
1962,1.0726543431260893e-06
1963,9.390769801141476e-07
1964,9.038686413934523e-07
1965,8.514010763706536e-07
1966,8.137949921557411e-07
1967,7.410419513576016e-07
1968,6.629981225612725e-07
1969,6.147781985075897e-07
1970,6.12644737100051e-07
1971,6.262062197036146e-07
1972,5.906892910039525e-07
1973,5.583596987942689e-07
1974,6.152021084306269e-07
1975,6.106587384329438e-07
1976,5.809029064440807e-07
1977,6.091729548415463e-07
1978,5.879909931330981e-07
1979,6.081124992451947e-07
1980,6.061110056711425e-07
1981,5.850576313891156e-07
1982,5.850665046721763e-07
1983,5.902574227485096e-07
1984,5.408345290344332e-07
1985,5.326898161937623e-07
1986,5.018204998208375e-07
1987,4.723576440466916e-07
1988,4.441140844920913e-07
1989,4.473381731706638e-07
1990,4.417993938941679e-07
1991,4.4564894523852724e-07
1992,4.7473745277772294e-07
1993,4.619887317782099e-07
1994,4.6949533828920054e-07
1995,4.535533272763205e-07
1996,4.408624957795228e-07
1997,4.4586233568669596e-07
1998,4.4482119283222635e-07
1999,4.260339703560894e-07
2000,4.3040345944410164e-07
2001,4.285033936885745e-07
2002,4.350378513355106e-07
2003,4.389017794093064e-07
2004,4.357015284672805e-07
