year,biologism
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,2.4281254784597195e-10
1857,2.4281254784597195e-10
1858,2.4281254784597195e-10
1859,2.4281254784597195e-10
1860,2.4281254784597195e-10
1861,2.4281254784597195e-10
1862,2.4281254784597195e-10
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,1.8718908328147724e-09
1887,1.8718908328147724e-09
1888,1.8718908328147724e-09
1889,1.8718908328147724e-09
1890,1.8718908328147724e-09
1891,1.8718908328147724e-09
1892,1.8718908328147724e-09
1893,0.0
1894,0.0
1895,0.0
1896,1.1588794209974448e-10
1897,8.615678408802857e-10
1898,8.615678408802857e-10
1899,8.615678408802857e-10
1900,8.615678408802857e-10
1901,8.615678408802857e-10
1902,9.67285989401339e-10
1903,8.513980473015944e-10
1904,1.0571814852105327e-10
1905,1.0571814852105327e-10
1906,1.0571814852105327e-10
1907,1.0571814852105327e-10
1908,1.0571814852105327e-10
1909,0.0
1910,0.0
1911,4.3130109008058884e-10
1912,1.020956335346617e-09
1913,1.2640319108874515e-09
1914,1.2640319108874515e-09
1915,1.2640319108874515e-09
1916,1.515404976107756e-09
1917,5.2187750311714714e-09
1918,5.7268012871552236e-09
1919,5.238231047334705e-09
1920,5.491451713991933e-09
1921,6.426899116071131e-09
1922,1.1047170265867022e-08
1923,1.1880549139713687e-08
1924,9.939362594873254e-09
1925,1.1473820488954495e-08
1926,1.149655826886737e-08
1927,1.1574036514908466e-08
1928,1.3534816117084197e-08
1929,1.0265308626942828e-08
1930,1.1987925882131885e-08
1931,1.1039279546043446e-08
1932,1.0417399855443068e-08
1933,1.0293577070084683e-08
1934,1.0531306271488461e-08
1935,1.0352259018274268e-08
1936,1.0259433635972925e-08
1937,7.815444053831707e-09
1938,9.373736263386588e-09
1939,8.205109861389052e-09
1940,1.1093659546546064e-08
1941,1.3624080435243561e-08
1942,1.7692154439887172e-08
1943,2.047099837262526e-08
1944,2.041687021035545e-08
1945,2.025614577659342e-08
1946,2.253269069742357e-08
1947,2.2684760228993842e-08
1948,2.067928591856624e-08
1949,2.0412439976397982e-08
1950,1.9699034689172175e-08
1951,2.102277012789549e-08
1952,1.9708742796506077e-08
1953,1.8006538863143566e-08
1954,1.9429120978742276e-08
1955,2.0333739152762172e-08
1956,1.6029916965238604e-08
1957,1.5817458993388252e-08
1958,1.8078586893383834e-08
1959,2.0273112458621e-08
1960,2.1384317221746178e-08
1961,2.1405142690080125e-08
1962,2.3795233894396972e-08
1963,2.512442455669474e-08
1964,2.4942410613095134e-08
1965,2.6159653859769705e-08
1966,2.6873010769027213e-08
1967,2.758059767872721e-08
1968,2.7566822094878977e-08
1969,2.6666085498458107e-08
1970,2.829636950149198e-08
1971,3.031124454607895e-08
1972,3.094288016290493e-08
1973,3.370439797098105e-08
1974,3.721694408209686e-08
1975,4.023993273514849e-08
1976,4.064222074757444e-08
1977,4.13539268067404e-08
1978,4.0053039186892033e-08
1979,4.0125249281938325e-08
1980,4.0010351539824085e-08
1981,4.036349112089356e-08
1982,3.889735222806223e-08
1983,4.245739918370565e-08
1984,4.2804200850454777e-08
1985,4.783625476686585e-08
1986,4.97644718449359e-08
1987,5.512508608315362e-08
1988,5.91628907769299e-08
1989,6.180484400454744e-08
1990,6.290226181196853e-08
1991,6.820169257919823e-08
1992,7.173032799480593e-08
1993,7.6091715182715e-08
1994,7.411121142172508e-08
1995,7.268376291312351e-08
1996,7.283150171844e-08
1997,7.32579265821138e-08
1998,6.908945428461622e-08
1999,6.513558105579265e-08
2000,6.134103383966963e-08
2001,5.624031018669484e-08
2002,5.446916591841007e-08
2003,5.301948888813968e-08
2004,5.0145309904436886e-08
