year,creationism
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,4.718045890480685e-09
1838,4.718045890480685e-09
1839,4.718045890480685e-09
1840,5.425025952275421e-09
1841,6.106415880883072e-09
1842,6.106415880883072e-09
1843,6.106415880883072e-09
1844,2.032061376309814e-09
1845,3.870894715873874e-09
1846,6.895508164461717e-09
1847,6.188528102666981e-09
1848,7.101212126262421e-09
1849,8.379648276855635e-09
1850,8.379648276855635e-09
1851,9.198887619886266e-09
1852,8.775045198409056e-09
1853,6.407361561956902e-09
1854,6.407361561956902e-09
1855,6.395173168805002e-09
1856,5.602362113903731e-09
1857,1.2181826452335137e-08
1858,1.1027315489313999e-08
1859,1.1412260803034256e-08
1860,2.168398985765866e-08
1861,4.775493411823817e-08
1862,5.5828965260319915e-08
1863,5.534334016462797e-08
1864,9.090844721448832e-08
1865,1.1120981002754603e-07
1866,1.1401576368744567e-07
1867,1.2130632780810962e-07
1868,1.118069677793646e-07
1869,1.0366378044857072e-07
1870,1.0806705095868706e-07
1871,7.265395894430681e-08
1872,6.557832959203884e-08
1873,6.371636396274027e-08
1874,6.239894334569841e-08
1875,4.877800620560281e-08
1876,5.577844154812185e-08
1877,5.592926896217218e-08
1878,5.951493570981776e-08
1879,5.7533468592449056e-08
1880,6.093263696779364e-08
1881,5.618352665643605e-08
1882,6.689916998148249e-08
1883,7.821301362120892e-08
1884,7.704387784888767e-08
1885,9.40098915380716e-08
1886,9.40629287951974e-08
1887,9.644967762551764e-08
1888,9.270281328291725e-08
1889,8.102053087163544e-08
1890,6.6186181900209e-08
1891,6.947073624300312e-08
1892,4.958532157888535e-08
1893,4.5320097214711966e-08
1894,4.3158476491024696e-08
1895,4.1320747601325536e-08
1896,4.292926574540295e-08
1897,4.5926033761681644e-08
1898,4.3256522554356384e-08
1899,4.5336722106651244e-08
1900,5.4693618570641634e-08
1901,5.879443362325329e-08
1902,6.163524988801938e-08
1903,6.489369636890935e-08
1904,6.146371639426107e-08
1905,6.068954467546612e-08
1906,5.644378900778894e-08
1907,4.8603631278406774e-08
1908,4.52194778764538e-08
1909,4.349542429401712e-08
1910,4.73848519787014e-08
1911,5.263750438696694e-08
1912,5.636960269989849e-08
1913,5.8065067508130045e-08
1914,5.34339006930118e-08
1915,5.5283232618703286e-08
1916,5.4385443854736744e-08
1917,4.580534284410425e-08
1918,3.834156137821105e-08
1919,3.8055239808582845e-08
1920,3.807573342332457e-08
1921,4.467412511350537e-08
1922,4.4980452711713374e-08
1923,4.4430703766933684e-08
1924,5.6602830295864644e-08
1925,6.038007541572402e-08
1926,6.918631318646768e-08
1927,6.717262636600298e-08
1928,6.214061750878637e-08
1929,5.654713741698458e-08
1930,6.044753589736932e-08
1931,5.682668229629278e-08
1932,5.625683545990816e-08
1933,4.5541513243081104e-08
1934,4.489642920927191e-08
1935,4.3179744985926457e-08
1936,4.5136226058316095e-08
1937,4.2387222493849615e-08
1938,3.602400381172036e-08
1939,3.306474786032457e-08
1940,3.167219664312881e-08
1941,3.3011324245586186e-08
1942,3.356186420841059e-08
1943,3.508205402370988e-08
1944,4.2640488917555786e-08
1945,4.1464590221680046e-08
1946,4.295965104285569e-08
1947,4.436779207520455e-08
1948,4.4352378769652034e-08
1949,4.4394658830057155e-08
1950,4.22110810670086e-08
1951,3.9812142558849824e-08
1952,4.4060966026509315e-08
1953,4.5157127680019374e-08
1954,4.506171498640045e-08
1955,4.421993087572978e-08
1956,4.681795022300404e-08
1957,5.0417572339256373e-08
1958,4.2597925123796394e-08
1959,5.0837390170548654e-08
1960,5.377139241805448e-08
1961,5.440128639630107e-08
1962,5.469395802133141e-08
1963,5.3443527448753566e-08
1964,5.119113306663513e-08
1965,5.2041864678775696e-08
1966,4.27589591947949e-08
1967,4.404130563018249e-08
1968,4.2846971728563836e-08
1969,4.2711258637005504e-08
1970,4.1728350061046426e-08
1971,4.741197727277578e-08
1972,4.917674860977732e-08
1973,5.4382850992304044e-08
1974,5.1501556376708034e-08
1975,5.683982740827582e-08
1976,5.787402319284191e-08
1977,6.055420472986636e-08
1978,6.99774693746491e-08
1979,1.1650520967806548e-07
1980,1.8947998398077817e-07
1981,2.4489798004591533e-07
1982,2.868674884859424e-07
1983,3.227220704163766e-07
1984,3.679493484501758e-07
1985,4.089870002031505e-07
1986,4.329202073018377e-07
1987,4.0829071114499377e-07
1988,3.8685131769395595e-07
1989,3.908620897893503e-07
1990,4.1097669589706953e-07
1991,4.2028740308643263e-07
1992,4.130218795385586e-07
1993,3.9315984818560116e-07
1994,3.71634679871161e-07
1995,3.881746997486906e-07
1996,4.000570285204016e-07
1997,3.97305660244334e-07
1998,4.04888148246891e-07
1999,4.247222118447525e-07
2000,4.333137097388219e-07
2001,4.5821912600782096e-07
2002,4.6804072732313057e-07
2003,4.6740207202411457e-07
2004,4.80687098514121e-07
