year,natural selection
1800,4.791774310675123e-09
1801,3.833419448540098e-09
1802,3.1945162071167488e-09
1803,3.893869227056257e-09
1804,3.893869227056257e-09
1805,3.893869227056257e-09
1806,8.41583678935974e-09
1807,7.103800722266637e-09
1808,7.103800722266637e-09
1809,7.103800722266637e-09
1810,8.783460371729137e-09
1811,8.783460371729137e-09
1812,8.783460371729137e-09
1813,2.835372127561543e-09
1814,6.579805462385886e-09
1815,6.579805462385886e-09
1816,6.579805462385886e-09
1817,4.335545129257363e-09
1818,4.335545129257363e-09
1819,5.846339285702535e-09
1820,5.846339285702535e-09
1821,2.1019059508781926e-09
1822,2.1019059508781926e-09
1823,2.1019059508781926e-09
1824,1.5107941564451721e-09
1825,1.5107941564451721e-09
1826,0.0
1827,7.983187444438045e-10
1828,7.983187444438045e-10
1829,7.983187444438045e-10
1830,1.6799554128762599e-09
1831,1.6799554128762599e-09
1832,2.0649592194895862e-09
1833,2.4388136906797595e-09
1834,1.6404949462359549e-09
1835,1.6404949462359549e-09
1836,1.6404949462359549e-09
1837,1.075479159697222e-08
1838,1.075479159697222e-08
1839,1.0369787790358894e-08
1840,9.995933319168719e-09
1841,1.2279911405193339e-08
1842,1.2579266929689327e-08
1843,1.2876727493806226e-08
1844,2.8807941746375067e-09
1845,2.8807941746375067e-09
1846,3.1699790728875345e-09
1847,3.983032982800085e-09
1848,4.495717163623323e-09
1849,4.1963616391273365e-09
1850,2.008352915718246e-08
1851,2.0683075522117837e-08
1852,2.15844424555911e-08
1853,2.129525755734107e-08
1854,2.048220364742852e-08
1855,1.9701556798677544e-08
1856,9.210707317487886e-08
1857,1.7856034796791066e-07
1858,4.506928072174026e-07
1859,5.017077226681417e-07
1860,6.813532381474578e-07
1861,1.011621288262075e-06
1862,1.0801747205262707e-06
1863,1.318526691702309e-06
1864,1.6417406974841446e-06
1865,1.6019637477501393e-06
1866,1.900983446085596e-06
1867,1.9814875239023067e-06
1868,2.8161495060987003e-06
1869,3.7465010004820798e-06
1870,3.936531718754363e-06
1871,4.132444696277762e-06
1872,4.342379494711882e-06
1873,4.656352537831968e-06
1874,4.920403677642427e-06
1875,4.305465679976805e-06
1876,3.785101055443972e-06
1877,3.948338302401616e-06
1878,3.862941534902933e-06
1879,4.019415256501751e-06
1880,4.0889049570986506e-06
1881,4.145062921472638e-06
1882,4.032673137136353e-06
1883,4.171019581785832e-06
1884,4.355607409729194e-06
1885,4.783107318471837e-06
1886,5.209818383684299e-06
1887,5.18845348069468e-06
1888,5.6565947225298685e-06
1889,6.043500556123555e-06
1890,6.2184277978311845e-06
1891,5.950412692864607e-06
1892,6.678674979911291e-06
1893,6.858480015787499e-06
1894,7.0491491069698705e-06
1895,6.515667895763093e-06
1896,6.35330221575105e-06
1897,6.586561697830008e-06
1898,6.716141327649845e-06
1899,6.103417877006173e-06
1900,5.571053986384657e-06
1901,5.24770547143711e-06
1902,5.286101998284007e-06
1903,5.4234012856519646e-06
1904,4.942224228849617e-06
1905,4.869346647292819e-06
1906,4.584758662368975e-06
1907,4.644582770956568e-06
1908,4.674080881577375e-06
1909,4.755893343144636e-06
1910,4.458042420552034e-06
1911,4.461898586224525e-06
1912,4.474003792204988e-06
1913,4.438282025073395e-06
1914,4.161612825269247e-06
1915,4.003314442486376e-06
1916,3.726738554833884e-06
1917,3.6646977612520004e-06
1918,3.5591764654238233e-06
1919,3.442226121411604e-06
1920,3.1088852878724538e-06
1921,3.159359225790581e-06
1922,3.1098504222575637e-06
1923,3.27159069308485e-06
1924,3.253446183444047e-06
1925,3.240975578577832e-06
1926,3.14232760700861e-06
1927,3.0317095475343848e-06
1928,3.0376486400537525e-06
1929,3.0048733210869775e-06
1930,2.747222726766958e-06
1931,2.6392897726371497e-06
1932,2.485782388055619e-06
1933,2.5001195727014647e-06
1934,2.39735786524063e-06
1935,2.117547345470427e-06
1936,2.0185695773936426e-06
1937,2.147779496475266e-06
1938,2.05593071976397e-06
1939,2.008351651713472e-06
1940,1.7772262126720354e-06
1941,1.7618165817674075e-06
1942,1.7251474953334473e-06
1943,1.662029125501111e-06
1944,1.5471770299210367e-06
1945,1.5288565088208574e-06
1946,1.6152523548537294e-06
1947,1.7020197534530927e-06
1948,1.7880143571450243e-06
1949,1.993600612212479e-06
1950,2.030977088983223e-06
1951,1.987133983456195e-06
1952,2.0810069581196037e-06
1953,2.0164816455344895e-06
1954,2.033988388764182e-06
1955,2.3657360076003087e-06
1956,2.404543479122318e-06
1957,2.462975835726411e-06
1958,2.5613816026900537e-06
1959,2.6426112578192824e-06
1960,2.767970466674033e-06
1961,2.8506034784722293e-06
1962,2.5532957815345625e-06
1963,2.4601629036169466e-06
1964,2.4751197867140765e-06
1965,2.4765809158365315e-06
1966,2.421518726361934e-06
1967,2.38756216537033e-06
1968,2.3886275084856422e-06
1969,2.437088073570237e-06
1970,2.5021701283632425e-06
1971,2.629200104107911e-06
1972,2.656979656734393e-06
1973,2.727398075259251e-06
1974,2.8183668262674444e-06
1975,2.7772300615426715e-06
1976,2.7743879844927785e-06
1977,2.7780649502722506e-06
1978,2.7698091161606645e-06
1979,2.8676610804063377e-06
1980,2.944564424797339e-06
1981,2.900993251715127e-06
1982,2.9898271195958974e-06
1983,3.024201021923594e-06
1984,3.00248388995783e-06
1985,2.9651074697767403e-06
1986,2.9419914616214878e-06
1987,2.8443699631809845e-06
1988,2.831792820805796e-06
1989,2.7666546292033038e-06
1990,2.833610683491575e-06
1991,2.9048789130316417e-06
1992,3.0090722697043556e-06
1993,3.0165185923739353e-06
1994,3.099365457741905e-06
1995,3.2066075875850482e-06
1996,3.301737763702509e-06
1997,3.3853263718646488e-06
1998,3.4503414870609305e-06
1999,3.4339399420498954e-06
2000,3.504440906608254e-06
2001,3.5481583715579745e-06
2002,3.572487780563923e-06
2003,3.611232714462176e-06
2004,3.5551485901841318e-06
