year,procrastination
1800,1.0269421448771965e-06
1801,1.0162019274062571e-06
1802,1.0477074664135462e-06
1803,1.134862471552367e-06
1804,1.2251993907038842e-06
1805,1.144102583466073e-06
1806,1.099533850507888e-06
1807,1.1103537721014943e-06
1808,1.1115029521541992e-06
1809,1.0262634079692492e-06
1810,9.049772400666305e-07
1811,8.935611891049331e-07
1812,9.254630861020375e-07
1813,9.957154408927034e-07
1814,1.0382562384439862e-06
1815,1.0580862589902397e-06
1816,1.0761451512765674e-06
1817,1.1032894012988744e-06
1818,1.055980174413662e-06
1819,1.0362697146096676e-06
1820,1.0119478956381402e-06
1821,9.595368738298963e-07
1822,9.846495563030951e-07
1823,1.0759835473399853e-06
1824,1.1343402837355704e-06
1825,1.215275703752334e-06
1826,1.1871960556852914e-06
1827,1.1583664251928788e-06
1828,1.1529455115066867e-06
1829,1.1428754216018838e-06
1830,1.0961023036516946e-06
1831,1.041053303816954e-06
1832,9.996628799032895e-07
1833,1.0526460050603551e-06
1834,1.072808038373095e-06
1835,1.0848852388826e-06
1836,1.0530738791774446e-06
1837,1.0437105756480998e-06
1838,1.0378867190765005e-06
1839,1.0156393572824385e-06
1840,1.0123287861953299e-06
1841,9.63615627228417e-07
1842,9.346148019316404e-07
1843,9.548851466359816e-07
1844,9.60487875583433e-07
1845,9.665056603301383e-07
1846,9.88599546923398e-07
1847,9.471259926817157e-07
1848,9.789072334319217e-07
1849,9.90523119399305e-07
1850,9.629732074602413e-07
1851,9.429891544446685e-07
1852,9.35235184534073e-07
1853,9.270578152761492e-07
1854,9.343531827608688e-07
1855,9.488500272476178e-07
1856,9.584272523558264e-07
1857,9.486466795597234e-07
1858,9.881476288648677e-07
1859,9.904693631617486e-07
1860,9.480674755733633e-07
1861,9.422324665259956e-07
1862,8.827520538038211e-07
1863,8.583288726120892e-07
1864,8.640869470103292e-07
1865,8.067796406814003e-07
1866,7.709365689326628e-07
1867,7.729813648208302e-07
1868,7.515689206855874e-07
1869,7.494017309563259e-07
1870,7.415477916161706e-07
1871,7.128210058089073e-07
1872,6.842452665737194e-07
1873,6.71360322033822e-07
1874,6.713145640332588e-07
1875,6.651397517527207e-07
1876,6.699177100991501e-07
1877,6.695665157239817e-07
1878,6.499736779273591e-07
1879,6.612409337541131e-07
1880,6.659676448401391e-07
1881,6.561638407858491e-07
1882,6.580245453286742e-07
1883,6.450164476185754e-07
1884,6.282032596973051e-07
1885,6.398916434185204e-07
1886,6.459711993248415e-07
1887,6.524830206292417e-07
1888,6.418475872698487e-07
1889,6.507695429520359e-07
1890,6.432456525048584e-07
1891,6.364093242553333e-07
1892,6.201520933922313e-07
1893,6.106457113614587e-07
1894,5.862907409083716e-07
1895,5.97548938393747e-07
1896,5.949598461515596e-07
1897,6.295934454891849e-07
1898,6.236084557948678e-07
1899,6.381352102608722e-07
1900,6.352543672364217e-07
1901,6.391813285639663e-07
1902,6.250094851826102e-07
1903,5.982524776682041e-07
1904,5.852717995485129e-07
1905,5.992934765426077e-07
1906,5.872009502607054e-07
1907,5.81683006793478e-07
1908,5.803745099270635e-07
1909,5.625100594050129e-07
1910,5.75526638695629e-07
1911,5.488774716320779e-07
1912,5.436677429201557e-07
1913,5.431233468998287e-07
1914,5.554141430584381e-07
1915,5.641894117606025e-07
1916,5.890907350179576e-07
1917,5.897852451181811e-07
1918,6.007541630825841e-07
1919,5.973014051934606e-07
1920,5.955164894861602e-07
1921,5.846689406904407e-07
1922,5.749627095700101e-07
1923,5.688375868752515e-07
1924,5.541169645668325e-07
1925,5.537940291106784e-07
1926,5.656695489797414e-07
1927,5.739535297826544e-07
1928,5.872833604187682e-07
1929,5.950252399371842e-07
1930,6.270967509713898e-07
1931,6.563494511700542e-07
1932,6.816085766279758e-07
1933,6.994272332733992e-07
1934,7.006697607511317e-07
1935,6.915973031722851e-07
1936,6.822787597750488e-07
1937,6.603030835756435e-07
1938,6.404543340744948e-07
1939,6.086455803482644e-07
1940,5.791017088720349e-07
1941,5.625311646336887e-07
1942,5.623119904945335e-07
1943,5.688941175760068e-07
1944,5.648688848257168e-07
1945,5.729733925176537e-07
1946,5.708750026906755e-07
1947,5.783834455422695e-07
1948,5.873462118174569e-07
1949,5.817425912657548e-07
1950,5.744629765293472e-07
1951,5.73116618551861e-07
1952,5.762731687239e-07
1953,5.798434938229593e-07
1954,5.772660352113386e-07
1955,5.754206637683826e-07
1956,5.682992485013725e-07
1957,5.739091481890161e-07
1958,5.70721120410741e-07
1959,5.630007242352075e-07
1960,5.695335214114409e-07
1961,5.677876954355922e-07
1962,5.788843380562435e-07
1963,5.9205972258566e-07
1964,5.908381949922984e-07
1965,5.922047292114144e-07
1966,5.978848448709835e-07
1967,6.033982419590649e-07
1968,6.107722597681332e-07
1969,5.974129275245131e-07
1970,5.901852455160649e-07
1971,5.933887998109202e-07
1972,5.810948457656602e-07
1973,5.639828857896744e-07
1974,5.571034554944074e-07
1975,5.444626093468026e-07
1976,5.54216527781648e-07
1977,5.573997278978433e-07
1978,5.594690050918822e-07
1979,5.764192526466364e-07
1980,6.247005425968106e-07
1981,6.419017787782723e-07
1982,6.532109122809564e-07
1983,6.52019694489882e-07
1984,6.508884647133634e-07
1985,6.613270797016315e-07
1986,6.526071138728591e-07
1987,6.337527230623356e-07
1988,6.270948332672991e-07
1989,6.299407502297072e-07
1990,6.397081310386252e-07
1991,6.502720765030492e-07
1992,6.642007040242554e-07
1993,6.89607660182239e-07
1994,6.847537271806711e-07
1995,6.872064539642508e-07
1996,7.230317568155239e-07
1997,7.178297754936327e-07
1998,7.224325454048751e-07
1999,7.065664135045121e-07
2000,6.87205487182041e-07
2001,7.016389824698878e-07
2002,7.086218163365743e-07
2003,6.767968235621424e-07
2004,6.883244949573708e-07
