year,the
1800,0.06246873002965003
1801,0.06258453568443656
1802,0.06247210595756769
1803,0.0621319677946823
1804,0.0617698703759483
1805,0.061671439691313674
1806,0.061086082831025124
1807,0.06086616424311484
1808,0.060592384942408116
1809,0.060237817599305084
1810,0.06059923455385225
1811,0.06088070012629032
1812,0.06159201570387397
1813,0.06191203889570066
1814,0.06234102895749467
1815,0.0628512077299612
1816,0.06339914977018322
1817,0.06329427100718021
1818,0.0633837021222072
1819,0.06318307794364436
1820,0.06288006249815226
1821,0.062238432999168126
1822,0.0617670440780265
1823,0.061753340265048404
1824,0.06221846624144486
1825,0.062326072715222836
1826,0.0625594882959766
1827,0.0626016674962427
1828,0.06348264130896755
1829,0.06392677115010363
1830,0.06399091672418374
1831,0.06393522775865026
1832,0.0641116075483816
1833,0.06437091356409448
1834,0.06488403671288065
1835,0.06489229355273501
1836,0.06456197246110865
1837,0.064806664695165
1838,0.06486280422125544
1839,0.06480928816433464
1840,0.06472095647560698
1841,0.06462403460006629
1842,0.06457684415259532
1843,0.0649933109192976
1844,0.06496334900813443
1845,0.06494942540302873
1846,0.06510282507432359
1847,0.06517569161951542
1848,0.06532036113951888
1849,0.06536720513499208
1850,0.06526733123298202
1851,0.06534924398043326
1852,0.0654026617162994
1853,0.06533727621925729
1854,0.06512799300253391
1855,0.06510264752432704
1856,0.06498918968385883
1857,0.06500669701823167
1858,0.06481399593342628
1859,0.06470173211502177
1860,0.0644605860912374
1861,0.06438957301101514
1862,0.0643107940309814
1863,0.06436510058119893
1864,0.06440853979438543
1865,0.06438075125749622
1866,0.06424289502735649
1867,0.0643214350566268
1868,0.06419601464377982
1869,0.06408887103732143
1870,0.06398026252697621
1871,0.06375451239624194
1872,0.06370969695438232
1873,0.06377368646540812
1874,0.06388690562120505
1875,0.06411941901647619
1876,0.06423424696549773
1877,0.06423386026706014
1878,0.06447297168363418
1879,0.06448642403951713
1880,0.0643414271596287
1881,0.0641366063750216
1882,0.06401712281097259
1883,0.06405295697706086
1884,0.06392731604033283
1885,0.06374461869043964
1886,0.06378999026492238
1887,0.06389933099438037
1888,0.06389837020209857
1889,0.06388473317825369
1890,0.06378858503220337
1891,0.06396744932447161
1892,0.06411749936108078
1893,0.0640136302182717
1894,0.06396992783993483
1895,0.06401058179991587
1896,0.0638372115790844
1897,0.0636742222122848
1898,0.06350259403032915
1899,0.06332562724128366
1900,0.06326503612633262
1901,0.06321358268282243
1902,0.06326130185542363
1903,0.06343756004103593
1904,0.06366509298927017
1905,0.06368331138842873
1906,0.06370771643040435
1907,0.06377068840499435
1908,0.06385168067312666
1909,0.06380884808355144
1910,0.0638786708670003
1911,0.06387849571183324
1912,0.064051668691848
1913,0.06411732959428004
1914,0.0640513860354466
1915,0.06411372743813055
1916,0.0641838552297226
1917,0.06414320605940052
1918,0.06408830033615232
1919,0.06388571332874042
1920,0.06370601856282779
1921,0.06365417070420724
1922,0.06338580405073506
1923,0.06310752985466804
1924,0.0628550541587174
1925,0.06258159423513071
1926,0.062339170037635734
1927,0.06228637069995914
1928,0.06217037673507418
1929,0.06214727687516383
1930,0.062061227924589596
1931,0.0620003250161452
1932,0.06192696580131139
1933,0.06199126091918775
1934,0.061899903097323
1935,0.06192876371954169
1936,0.06190859686051096
1937,0.06192141252436808
1938,0.06191751167976431
1939,0.0619207204851721
1940,0.061909072034593136
1941,0.06180590125066894
1942,0.061653646640479565
1943,0.061471869104674885
1944,0.06139910068096859
1945,0.06138126325926611
1946,0.06131045653351715
1947,0.061283612956425974
1948,0.06128326317827616
1949,0.06133001237841589
1950,0.0613210132079465
1951,0.06115662432940943
1952,0.060967194847762585
1953,0.06083399722618716
1954,0.06069031983081784
1955,0.06062236408303891
1956,0.060559048250849755
1957,0.06061949308163353
1958,0.060615874627338986
1959,0.060720900605831823
1960,0.06074846323047366
1961,0.060758418403565884
1962,0.06077596378911819
1963,0.06074948595570666
1964,0.06062155363282987
1965,0.06058253181566085
1966,0.06038734882271715
1967,0.06020753750843661
1968,0.05993603116699627
1969,0.059606390606079786
1970,0.059226586150803735
1971,0.05886483445231403
1972,0.05850975208782724
1973,0.05810075206682086
1974,0.0577248413381832
1975,0.05737249307068331
1976,0.057005694801253934
1977,0.05665675011862602
1978,0.05627994312505637
1979,0.05588538984635047
1980,0.055530026222446134
1981,0.05520619026252202
1982,0.054862142473991425
1983,0.054590309637465646
1984,0.0543835795085345
1985,0.05422976719481604
1986,0.05408967126693045
1987,0.0539728679162051
1988,0.05380688002333045
1989,0.053711166472307274
1990,0.053554961524371586
1991,0.05331017602501171
1992,0.05310605872156365
1993,0.05292908102273941
1994,0.0527748460881412
1995,0.052634139212646654
1996,0.052488707205546756
1997,0.052397737811718664
1998,0.05233618683580841
1999,0.052237842098942826
2000,0.05216427480003664
2001,0.052064272575080395
2002,0.052034329855814576
2003,0.05196911087259651
2004,0.051899798796512187
