year,uniformitarianism
1800,1.3057285030981802e-08
1801,1.0445828024785442e-08
1802,8.704856687321202e-09
1803,7.461305731989602e-09
1804,7.461305731989602e-09
1805,7.461305731989602e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,8.344978041918694e-10
1828,8.344978041918694e-10
1829,8.344978041918694e-10
1830,8.344978041918694e-10
1831,8.344978041918694e-10
1832,8.344978041918694e-10
1833,8.344978041918694e-10
1834,0.0
1835,0.0
1836,0.0
1837,3.3700328242300005e-10
1838,3.3700328242300005e-10
1839,3.3700328242300005e-10
1840,3.3700328242300005e-10
1841,3.3700328242300005e-10
1842,3.3700328242300005e-10
1843,3.3700328242300005e-10
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,2.3583181439436526e-10
1853,6.737850119112717e-10
1854,6.737850119112717e-10
1855,6.737850119112717e-10
1856,6.737850119112717e-10
1857,6.737850119112717e-10
1858,6.737850119112717e-10
1859,7.979404438783278e-10
1860,1.7260696047064324e-09
1861,2.3054239469847258e-09
1862,3.1574166138779803e-09
1863,3.939113416403676e-09
1864,3.939113416403676e-09
1865,4.199996731354564e-09
1866,3.840009484993143e-09
1867,2.1994523091706242e-08
1868,3.7476857871001005e-08
1869,4.847457847821448e-08
1870,5.087302150969769e-08
1871,5.805326635283897e-08
1872,5.8236125762992485e-08
1873,6.076897886485102e-08
1874,4.7666788516309566e-08
1875,3.387482792684336e-08
1876,2.333483232038905e-08
1877,2.853423284955779e-08
1878,2.5155041700435684e-08
1879,2.936685910321606e-08
1880,3.1594902567227175e-08
1881,2.5986676398050334e-08
1882,2.6216879016922283e-08
1883,2.7851766416984806e-08
1884,2.9270800703886024e-08
1885,3.803435997897152e-08
1886,3.59994470741246e-08
1887,3.377935431370105e-08
1888,3.5659039673444474e-08
1889,4.7352396844882853e-08
1890,5.470515169430407e-08
1891,8.540006852480226e-08
1892,7.936287784092246e-08
1893,9.251070993381611e-08
1894,1.0685953483984584e-07
1895,1.1344228014108027e-07
1896,1.1095367386764516e-07
1897,1.0811311281143177e-07
1898,8.250852991307869e-08
1899,8.131926040480916e-08
1900,7.198153485963945e-08
1901,6.098709156735335e-08
1902,5.583748923549641e-08
1903,4.8018433419981325e-08
1904,4.238541352817395e-08
1905,3.122637507299178e-08
1906,3.6463923690023744e-08
1907,3.8363191290358145e-08
1908,3.5217363311293836e-08
1909,3.758157645401233e-08
1910,4.211979343082817e-08
1911,4.30994716106779e-08
1912,4.231787770996626e-08
1913,3.4780621113331527e-08
1914,3.164262965934686e-08
1915,3.3841452497439054e-08
1916,2.8611096904361336e-08
1917,2.368488115158028e-08
1918,2.3816821959066203e-08
1919,2.359784093527598e-08
1920,2.812791373628189e-08
1921,2.9484015506842102e-08
1922,2.9284447208447314e-08
1923,3.155302569224361e-08
1924,3.310699102960462e-08
1925,3.288097683811537e-08
1926,4.11719093817986e-08
1927,3.796407790515996e-08
1928,3.3829468551857134e-08
1929,3.259284187777973e-08
1930,3.3746346851857926e-08
1931,3.0999776008083e-08
1932,3.0883060037860995e-08
1933,2.5696926594534882e-08
1934,2.5393758857588418e-08
1935,2.4112394699952033e-08
1936,3.0663915390987436e-08
1937,3.4342697622210694e-08
1938,4.9694627476551793e-08
1939,6.596046428101029e-08
1940,6.397776962176393e-08
1941,7.258438586684893e-08
1942,7.530748551738092e-08
1943,6.856838833232562e-08
1944,6.309700422464052e-08
1945,5.2073367142112045e-08
1946,3.748049147235731e-08
1947,3.910220611588347e-08
1948,3.7753350358636436e-08
1949,4.367570439438901e-08
1950,4.780643837148142e-08
1951,4.9904998744576545e-08
1952,4.792017704075795e-08
1953,4.9156636364574724e-08
1954,5.3195262488576444e-08
1955,5.6121611952913194e-08
1956,7.139649975197924e-08
1957,7.589704506935238e-08
1958,7.541818487975607e-08
1959,8.784953213293787e-08
1960,1.1918508713293363e-07
1961,1.2629348944415142e-07
1962,1.2222309978390402e-07
1963,1.1909256490495932e-07
1964,1.1740757069730482e-07
1965,1.2722772505365958e-07
1966,1.2460673319360437e-07
1967,1.0689178666803807e-07
1968,1.0674469582059943e-07
1969,1.1057109988721336e-07
1970,1.0325617687069664e-07
1971,1.1392592127615739e-07
1972,1.266440009925088e-07
1973,1.3100905571494792e-07
1974,1.289381846688745e-07
1975,1.265026876584585e-07
1976,1.2383056608484505e-07
1977,1.2356620669332473e-07
1978,1.1880267996152876e-07
1979,1.1617044737090496e-07
1980,1.2584819150079124e-07
1981,1.2251911726229065e-07
1982,1.2225779274470977e-07
1983,1.2412337869432175e-07
1984,1.2876716814253744e-07
1985,1.30101651015949e-07
1986,1.282873040575616e-07
1987,1.234908116479591e-07
1988,1.2495347245788935e-07
1989,1.2894786311739332e-07
1990,1.2925663594216222e-07
1991,1.2678512507318424e-07
1992,1.2494678851084272e-07
1993,1.1906058277373026e-07
1994,1.1170976263067242e-07
1995,1.11407346387831e-07
1996,1.1267070897697756e-07
1997,1.1417014484609618e-07
1998,1.138927040297436e-07
1999,1.1384046422202587e-07
2000,1.1226139793953293e-07
2001,1.0896336574298512e-07
2002,1.0976043135491055e-07
2003,1.0506494059203675e-07
2004,1.0508237306694479e-07
